"ID","Dir","Length","Field_1","FRAN_DATUM","allCykelbana","TILL_DATUM","SHAPE_LEN","dist","AB_BilSkyltHast","BA_BilSkyltHast","remove","GC_samtl","Link Type","Riktning","Dir2","Tunnel","Motorväg","Motortrafikled","Förbjuden färdriktning","Skaft","Skaft_ID","bridge","AB_slope","BA_slope","AB_höjd10-35","BA_höjd10-35","AB_höjd35-50","BA_höjd35-50","AB_höjd>50","BA_höjd>50","GCM_typ","NyCykelBana","NyCykelFält","BreddaLänk","link_type","cykelbana","cykelfält","gångbana","trappa","annan cykel","ID_copy","N_ickebostad","AB_nedlutning","BA_nedlutning","AB_upplutning","BA_upplutning","AB_cykelspeed","BA_cykelspeed","AB_cykelrestid","BA_cykelrestid","From Z","To Z","AB_GK_Dansk","BA_GK_Dansk","AB_GK_Broach","BA_GK_Broach","AB_förbjud","BA_förbjud","N_lane","bredd","bredd_typ","AB_MättFlöden","BA_MättFlöden","count_stations","From ID","To ID"
5589864,0,0.004665,,20060510,0,99991231,4.65011709548,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,-43.009680,43.009680,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589864,0,4.300968,0.000000,0.000000,4.300968,18.843468,14.446801,0.014807,0.019313,2.990000,2.790000,0.022060,0.011533,0.011533,0.015394,1,0,4,14.000000,6,,,,104948,69596
5589870,0,0.016337,,20060510,0,99991231,16.30214771110,0.00000000000,,50.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,34.964714,-34.964714,0.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5589870,1,0.000000,3.496471,3.496471,0.000000,14.376626,18.154601,0.068036,0.053878,2.900000,3.470000,0.114474,0.019342,0.019342,0.024506,1,0,4,14.000000,6,,,,84849,92264
5589894,0,0.003217,,20060510,0,99991231,3.19641627465,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-71.955590,71.955590,0.000000,0.000000,0.000000,0.000000,0.000000,0.230000,0,,,,3,0,0,0,0,0,5589894,1,7.195559,0.000000,0.000000,7.195559,21.692720,14.389357,0.008841,0.013328,2.800000,2.570000,0.003174,0.032507,0.032507,0.020461,0,1,4,14.000000,6,,,,152561,99239
5591039,0,0.095689,,20060510,0,99991231,95.67770606050,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-3.135529,3.135529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5591039,5,0.313553,0.000000,0.000000,0.313553,15.827372,15.364132,0.362705,0.373641,14.000000,13.700000,0.130211,0.556668,0.556668,0.143534,0,1,2,7.000000,4,,,,35479,69595
5591095,0,0.088552,,20060510,0,99991231,88.60207475580,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,19.186907,-19.186907,1.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5591095,4,0.000000,1.918691,1.918691,0.000000,14.604225,17.370997,0.364013,0.306035,14.000000,15.700000,0.581424,0.109866,0.109866,0.132828,1,0,2,7.000000,4,,,,35479,35480
5591136,0,0.112860,,20060510,0,99991231,112.83856354000,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,32.790207,-32.790207,3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5591136,2,0.000000,3.279021,3.279021,0.000000,13.945063,19.070804,0.485499,0.355009,12.200000,15.900000,0.808421,0.127448,0.127448,0.169290,1,0,2,7.000000,4,,,,2358,53130
5591175,0,0.013959,,20060510,0,99991231,13.92695964650,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,64.622835,-64.622835,0.000000,0.000000,0.000000,0.000000,0.900000,0.000000,0,,,,3,0,0,0,0,0,5591175,1,0.000000,6.462284,6.462284,0.000000,14.183124,21.088945,0.058916,0.039623,11.300000,12.200000,0.137276,0.014225,0.014225,0.020939,1,0,2,7.000000,4,,,,84845,2358
5591213,0,0.042193,,20060510,0,99991231,42.18583659330,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,-19.437796,19.437796,0.000000,0.820000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5591213,1,1.943780,0.000000,0.000000,1.943780,16.914066,14.562230,0.149648,0.173816,8.030000,7.210000,0.222953,0.081260,0.081260,0.063290,1,0,2,7.000000,4,,,,44448,44449
5591228,0,0.073174,,20060510,0,99991231,73.21396960310,0.00000000000,,5.00000000000,,,0,"Mot",-1,,,,"Med",0,,0.000000,43.844089,-43.844089,0.000000,0.000000,3.210000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5591228,3,0.000000,4.384409,4.384409,0.000000,13.689568,19.674592,0.320889,0.223275,2.410000,5.620000,0.551907,0.080156,0.080156,0.109761,1,0,2,7.000000,4,,,,44453,77450
5591235,0,0.069228,,20060510,0,99991231,69.24546053740,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,50.833657,-50.833657,0.000000,0.000000,0.000000,0.000000,3.520000,0.000000,0,,,,3,0,0,0,0,0,5591235,3,0.000000,5.083366,5.083366,0.000000,13.486946,20.325228,0.308055,0.204412,2.310000,5.830000,0.304192,0.304544,0.304544,0.103842,0,1,2,7.000000,4,,,,44454,44455
5591287,0,0.010426,,20010401,0,99991231,10.42442252590,0.00000000000,5.00000000000,5.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,-425.922834,425.922834,0.000000,0.000000,0.000000,0.000000,0.000000,4.440000,0,,,,3,0,0,0,0,0,5591287,1,8.000000,0.000000,0.000000,8.000000,22.583093,14.174116,0.027696,0.044127,10.900000,6.460000,0.009943,0.260042,0.260042,0.066311,0,0,2,7.000000,4,,,,16819,16820
5592332,0,0.019901,,20060510,0,99991231,19.86533059270,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-2.013556,2.013556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5592332,0,0.201356,0.000000,0.000000,0.201356,14.930538,14.709384,0.079831,0.081031,6.830000,6.790000,0.028659,0.120724,0.120724,0.029852,0,1,2,7.000000,4,,,,26271,26272
5592413,0,0.053904,,20060510,0,99991231,53.89263037740,0.00000000000,5.00000000000,5.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,57.150670,-57.150670,0.000000,0.000000,0.000000,0.000000,3.080000,0.000000,0,,,,3,0,0,0,0,0,5592413,1,0.000000,5.715067,5.715067,0.000000,13.572712,20.822063,0.238240,0.155295,4.950000,8.030000,0.254928,0.055751,0.055751,0.080856,0,0,2,7.000000,4,,,,145359,44448
5592438,0,0.083915,,20060510,0,99991231,83.91847181960,0.00000000000,5.00000000000,5.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,51.001882,-51.001882,0.000000,0.000000,0.000000,0.000000,4.280000,0.000000,0,,,,3,0,0,0,0,0,5592438,7,0.000000,5.100188,5.100188,0.000000,13.183022,20.418110,0.381939,0.246600,2.550000,6.830000,0.372516,0.088529,0.088529,0.125872,0,0,2,7.000000,4,,,,92084,26271
5592501,0,0.023961,,20130701,0,99991231,23.95564313680,0.00000000000,,,,,2,,,,,,"Mot",0,,0.000000,-3.756950,3.756950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,"Skeppsbron - södergående",,,2,0,1,0,0,0,5592501,3,0.375695,0.000000,0.000000,0.375695,15.078787,14.658468,0.095322,0.098055,2.640000,2.550000,0.008452,0.008695,0.008695,0.029472,0,0,1,1.500000,1,,,,44668,92084
5592519,0,0.024711,,20060510,0,99991231,24.73204176730,0.00000000000,50.00000000000,50.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,-2.426000,2.426000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5592519,3,0.242600,0.000000,0.000000,0.242600,14.955142,14.682785,0.099225,0.101065,2.770000,2.710000,0.035622,0.036283,0.036283,0.037066,0,0,2,7.000000,4,,,,84835,35481
5590482,0,0.048412,,20060510,0,99991231,48.40635157180,0.00000000000,5.00000000000,,,,0,"Med",1,,,,"Mot",0,,0.000000,-123.330918,123.330918,0.000000,0.000000,0.000000,0.000000,0.000000,5.970000,0,,,,3,0,0,0,0,0,5590482,3,8.000000,0.000000,0.000000,8.000000,22.988876,13.060622,0.126339,0.222377,13.000000,7.030000,0.045356,0.659658,0.659658,0.307898,0,1,2,7.000000,4,,,,133470,133471
5590492,0,0.026559,,20060510,0,99991231,26.56360291830,0.00000000000,5.00000000000,5.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,-45.174606,45.174606,0.000000,0.000000,0.000000,1.200000,0.000000,0.000000,0,,,,3,0,0,0,0,0,5590492,2,4.517461,0.000000,0.000000,4.517461,19.272706,14.159763,0.082698,0.112560,7.030000,5.830000,0.029689,0.068009,0.068009,0.087646,0,0,2,7.000000,4,,,,133471,44455
5590499,0,0.041088,,20060510,0,99991231,41.13830097500,0.00000000000,5.00000000000,5.00000000000,,,0,"Med och mot",0,,,,,0,,0.000000,-94.072903,94.072903,0.000000,0.000000,0.000000,0.000000,0.000000,3.869999,0,,,,3,0,0,0,0,0,5590499,2,8.000000,0.000000,0.000000,8.000000,22.926660,13.289128,0.107661,0.185738,10.900000,7.030000,0.038650,0.279530,0.279530,0.261318,0,0,2,7.000000,4,,,,16819,133471
